,Computer Architecture,Programming Skills,Project Management,Communication skills,Openness,Conscientousness,Extraversion,Agreeableness,Emotional_Range,Conversation,Openness to Change,Hedonism,Self-enhancement,Self-transcendence,Role
30,4.0,2.0,2.0,2.0,0.814072172,0.461667768,0.347738516,0.138574524,0.630705007,0.095260723,0.37512498,0.135462046,0.287253446,0.26802442,Database Administrator
31,5.0,2.0,2.0,2.0,0.607494963,0.521783185,0.403756266,0.114924704,0.695279717,0.122655795,0.338898893,0.161705111,0.306562151,0.258119442,Database Administrator
32,1.0,2.0,2.0,2.0,0.781292724,0.319538906,0.240337062,0.050987739,0.619389506,0.065563884,0.31189647,0.147700232,0.302977888,0.207287203,Database Administrator
33,0.0,2.0,2.0,2.0,0.700737597,0.319924947,0.246463415,0.041291977,0.624139191,0.046333164,0.336220882,0.194156259,0.312115957,0.21969007,Database Administrator
34,3.0,2.0,2.0,2.0,0.733724048,0.31385154,0.214351242,0.038801004,0.659069353,0.058287824,0.296101878,0.168547783,0.308752339,0.211388677,Database Administrator
35,2.0,2.0,2.0,2.0,0.714603305,0.480564217,0.470876568,0.039610646,0.742567413,0.086926736,0.339776151,0.091158037,0.230518077,0.208745599,Database Administrator
36,4.0,4.0,4.0,4.0,0.617217845,0.452902935,0.377581437,0.090147592,0.672545513,0.071425106,0.353677599,0.104495257,0.247431686,0.196423545,Database Administrator
37,4.0,4.0,4.0,4.0,0.814072172,0.461667768,0.347738516,0.138574524,0.630705007,0.095260723,0.37512498,0.135462046,0.287253446,0.26802442,Database Administrator
38,4.0,4.0,4.0,4.0,0.607494963,0.521783185,0.403756266,0.114924704,0.695279717,0.122655795,0.338898893,0.161705111,0.306562151,0.258119442,Database Administrator
39,4.0,4.0,4.0,4.0,0.781292724,0.319538906,0.240337062,0.050987739,0.619389506,0.065563884,0.31189647,0.147700232,0.302977888,0.207287203,Database Administrator
40,4.0,4.0,4.0,4.0,0.700737597,0.319924947,0.246463415,0.041291977,0.624139191,0.046333164,0.336220882,0.194156259,0.312115957,0.21969007,Database Administrator
41,4.0,4.0,4.0,4.0,0.733724048,0.31385154,0.214351242,0.038801004,0.659069353,0.058287824,0.296101878,0.168547783,0.308752339,0.211388677,Database Administrator
42,5.0,5.0,5.0,5.0,0.714603305,0.480564217,0.470876568,0.039610646,0.742567413,0.086926736,0.339776151,0.091158037,0.230518077,0.208745599,Database Administrator
43,5.0,5.0,5.0,5.0,0.617217845,0.452902935,0.377581437,0.090147592,0.672545513,0.071425106,0.353677599,0.104495257,0.247431686,0.196423545,Database Administrator
44,5.0,5.0,5.0,5.0,0.814072172,0.461667768,0.347738516,0.138574524,0.630705007,0.095260723,0.37512498,0.135462046,0.287253446,0.26802442,Database Administrator
45,5.0,5.0,5.0,5.0,0.607494963,0.521783185,0.403756266,0.114924704,0.695279717,0.122655795,0.338898893,0.161705111,0.306562151,0.258119442,Database Administrator
46,5.0,5.0,5.0,5.0,0.781292724,0.319538906,0.240337062,0.050987739,0.619389506,0.065563884,0.31189647,0.147700232,0.302977888,0.207287203,Database Administrator
47,5.0,5.0,5.0,5.0,0.700737597,0.319924947,0.246463415,0.041291977,0.624139191,0.046333164,0.336220882,0.194156259,0.312115957,0.21969007,Database Administrator
48,1.0,1.0,1.0,1.0,0.733724048,0.31385154,0.214351242,0.038801004,0.659069353,0.058287824,0.296101878,0.168547783,0.308752339,0.211388677,Database Administrator
49,1.0,1.0,1.0,1.0,0.714603305,0.480564217,0.470876568,0.039610646,0.742567413,0.086926736,0.339776151,0.091158037,0.230518077,0.208745599,Database Administrator
50,1.0,1.0,1.0,1.0,0.617217845,0.452902935,0.377581437,0.090147592,0.672545513,0.071425106,0.353677599,0.104495257,0.247431686,0.196423545,Database Administrator
51,1.0,1.0,1.0,1.0,0.814072172,0.461667768,0.347738516,0.138574524,0.630705007,0.095260723,0.37512498,0.135462046,0.287253446,0.26802442,Database Administrator
52,1.0,1.0,1.0,1.0,0.607494963,0.521783185,0.403756266,0.114924704,0.695279717,0.122655795,0.338898893,0.161705111,0.306562151,0.258119442,Database Administrator
53,1.0,1.0,1.0,1.0,0.781292724,0.319538906,0.240337062,0.050987739,0.619389506,0.065563884,0.31189647,0.147700232,0.302977888,0.207287203,Database Administrator
54,0.0,0.0,0.0,0.0,0.700737597,0.319924947,0.246463415,0.041291977,0.624139191,0.046333164,0.336220882,0.194156259,0.312115957,0.21969007,Database Administrator
55,0.0,0.0,0.0,0.0,0.733724048,0.31385154,0.214351242,0.038801004,0.659069353,0.058287824,0.296101878,0.168547783,0.308752339,0.211388677,Database Administrator
56,0.0,0.0,0.0,0.0,0.714603305,0.480564217,0.470876568,0.039610646,0.742567413,0.086926736,0.339776151,0.091158037,0.230518077,0.208745599,Database Administrator
57,0.0,0.0,0.0,0.0,0.617217845,0.452902935,0.377581437,0.090147592,0.672545513,0.071425106,0.353677599,0.104495257,0.247431686,0.196423545,Database Administrator
58,0.0,0.0,0.0,0.0,0.814072172,0.461667768,0.347738516,0.138574524,0.630705007,0.095260723,0.37512498,0.135462046,0.287253446,0.26802442,Database Administrator
59,0.0,0.0,0.0,0.0,0.607494963,0.521783185,0.403756266,0.114924704,0.695279717,0.122655795,0.338898893,0.161705111,0.306562151,0.258119442,Database Administrator
60,3.0,3.0,3.0,3.0,0.781292724,0.319538906,0.240337062,0.050987739,0.619389506,0.065563884,0.31189647,0.147700232,0.302977888,0.207287203,Database Administrator
61,3.0,3.0,3.0,3.0,0.700737597,0.319924947,0.246463415,0.041291977,0.624139191,0.046333164,0.336220882,0.194156259,0.312115957,0.21969007,Database Administrator
62,3.0,3.0,3.0,3.0,0.733724048,0.31385154,0.214351242,0.038801004,0.659069353,0.058287824,0.296101878,0.168547783,0.308752339,0.211388677,Database Administrator
63,3.0,3.0,3.0,3.0,0.714603305,0.480564217,0.470876568,0.039610646,0.742567413,0.086926736,0.339776151,0.091158037,0.230518077,0.208745599,Database Administrator
64,3.0,3.0,3.0,3.0,0.617217845,0.452902935,0.377581437,0.090147592,0.672545513,0.071425106,0.353677599,0.104495257,0.247431686,0.196423545,Database Administrator
65,3.0,3.0,3.0,3.0,0.814072172,0.461667768,0.347738516,0.138574524,0.630705007,0.095260723,0.37512498,0.135462046,0.287253446,0.26802442,Database Administrator
66,2.0,2.0,2.0,2.0,0.607494963,0.521783185,0.403756266,0.114924704,0.695279717,0.122655795,0.338898893,0.161705111,0.306562151,0.258119442,Database Administrator
67,2.0,2.0,2.0,2.0,0.781292724,0.319538906,0.240337062,0.050987739,0.619389506,0.065563884,0.31189647,0.147700232,0.302977888,0.207287203,Database Administrator
68,2.0,2.0,2.0,2.0,0.700737597,0.319924947,0.246463415,0.041291977,0.624139191,0.046333164,0.336220882,0.194156259,0.312115957,0.21969007,Database Administrator
69,2.0,2.0,2.0,2.0,0.733724048,0.31385154,0.214351242,0.038801004,0.659069353,0.058287824,0.296101878,0.168547783,0.308752339,0.211388677,Database Administrator
70,2.0,2.0,2.0,2.0,0.714603305,0.480564217,0.470876568,0.039610646,0.742567413,0.086926736,0.339776151,0.091158037,0.230518077,0.208745599,Database Administrator
71,2.0,2.0,2.0,2.0,0.617217845,0.452902935,0.377581437,0.090147592,0.672545513,0.071425106,0.353677599,0.104495257,0.247431686,0.196423545,Database Administrator
72,4.0,4.0,4.0,4.0,0.814072172,0.461667768,0.347738516,0.138574524,0.630705007,0.095260723,0.37512498,0.135462046,0.287253446,0.26802442,Database Administrator
73,4.0,4.0,4.0,4.0,0.607494963,0.521783185,0.403756266,0.114924704,0.695279717,0.122655795,0.338898893,0.161705111,0.306562151,0.258119442,Database Administrator
74,4.0,4.0,4.0,4.0,0.781292724,0.319538906,0.240337062,0.050987739,0.619389506,0.065563884,0.31189647,0.147700232,0.302977888,0.207287203,Database Administrator
75,4.0,4.0,4.0,4.0,0.700737597,0.319924947,0.246463415,0.041291977,0.624139191,0.046333164,0.336220882,0.194156259,0.312115957,0.21969007,Database Administrator
76,4.0,4.0,4.0,4.0,0.733724048,0.31385154,0.214351242,0.038801004,0.659069353,0.058287824,0.296101878,0.168547783,0.308752339,0.211388677,Database Administrator
77,4.0,4.0,4.0,4.0,0.714603305,0.480564217,0.470876568,0.039610646,0.742567413,0.086926736,0.339776151,0.091158037,0.230518077,0.208745599,Database Administrator
78,5.0,5.0,5.0,5.0,0.617217845,0.452902935,0.377581437,0.090147592,0.672545513,0.071425106,0.353677599,0.104495257,0.247431686,0.196423545,Database Administrator
79,5.0,5.0,5.0,5.0,0.814072172,0.461667768,0.347738516,0.138574524,0.630705007,0.095260723,0.37512498,0.135462046,0.287253446,0.26802442,Database Administrator
80,5.0,5.0,5.0,5.0,0.607494963,0.521783185,0.403756266,0.114924704,0.695279717,0.122655795,0.338898893,0.161705111,0.306562151,0.258119442,Database Administrator
81,5.0,5.0,5.0,5.0,0.781292724,0.319538906,0.240337062,0.050987739,0.619389506,0.065563884,0.31189647,0.147700232,0.302977888,0.207287203,Database Administrator
82,5.0,5.0,5.0,5.0,0.700737597,0.319924947,0.246463415,0.041291977,0.624139191,0.046333164,0.336220882,0.194156259,0.312115957,0.21969007,Database Administrator
83,5.0,5.0,5.0,5.0,0.733724048,0.31385154,0.214351242,0.038801004,0.659069353,0.058287824,0.296101878,0.168547783,0.308752339,0.211388677,Database Administrator
84,1.0,1.0,1.0,1.0,0.714603305,0.480564217,0.470876568,0.039610646,0.742567413,0.086926736,0.339776151,0.091158037,0.230518077,0.208745599,Database Administrator
85,1.0,1.0,1.0,1.0,0.617217845,0.452902935,0.377581437,0.090147592,0.672545513,0.071425106,0.353677599,0.104495257,0.247431686,0.196423545,Database Administrator
86,1.0,1.0,1.0,1.0,0.814072172,0.461667768,0.347738516,0.138574524,0.630705007,0.095260723,0.37512498,0.135462046,0.287253446,0.26802442,Database Administrator
87,1.0,1.0,1.0,1.0,0.607494963,0.521783185,0.403756266,0.114924704,0.695279717,0.122655795,0.338898893,0.161705111,0.306562151,0.258119442,Database Administrator
88,1.0,1.0,1.0,1.0,0.781292724,0.319538906,0.240337062,0.050987739,0.619389506,0.065563884,0.31189647,0.147700232,0.302977888,0.207287203,Database Administrator
89,1.0,1.0,1.0,1.0,0.700737597,0.319924947,0.246463415,0.041291977,0.624139191,0.046333164,0.336220882,0.194156259,0.312115957,0.21969007,Database Administrator
90,0.0,0.0,0.0,0.0,0.733724048,0.31385154,0.214351242,0.038801004,0.659069353,0.058287824,0.296101878,0.168547783,0.308752339,0.211388677,Database Administrator
91,0.0,0.0,0.0,0.0,0.714603305,0.480564217,0.470876568,0.039610646,0.742567413,0.086926736,0.339776151,0.091158037,0.230518077,0.208745599,Database Administrator
92,0.0,0.0,0.0,0.0,0.617217845,0.452902935,0.377581437,0.090147592,0.672545513,0.071425106,0.353677599,0.104495257,0.247431686,0.196423545,Database Administrator
93,0.0,0.0,0.0,0.0,0.814072172,0.461667768,0.347738516,0.138574524,0.630705007,0.095260723,0.37512498,0.135462046,0.287253446,0.26802442,Database Administrator
94,0.0,0.0,0.0,0.0,0.607494963,0.521783185,0.403756266,0.114924704,0.695279717,0.122655795,0.338898893,0.161705111,0.306562151,0.258119442,Database Administrator
95,0.0,0.0,0.0,0.0,0.781292724,0.319538906,0.240337062,0.050987739,0.619389506,0.065563884,0.31189647,0.147700232,0.302977888,0.207287203,Database Administrator
96,3.0,3.0,3.0,3.0,0.700737597,0.319924947,0.246463415,0.041291977,0.624139191,0.046333164,0.336220882,0.194156259,0.312115957,0.21969007,Database Administrator
97,3.0,3.0,3.0,3.0,0.733724048,0.31385154,0.214351242,0.038801004,0.659069353,0.058287824,0.296101878,0.168547783,0.308752339,0.211388677,Database Administrator
98,3.0,3.0,3.0,3.0,0.714603305,0.480564217,0.470876568,0.039610646,0.742567413,0.086926736,0.339776151,0.091158037,0.230518077,0.208745599,Database Administrator
99,3.0,3.0,3.0,3.0,0.617217845,0.452902935,0.377581437,0.090147592,0.672545513,0.071425106,0.353677599,0.104495257,0.247431686,0.196423545,Database Administrator
100,3.0,3.0,3.0,3.0,0.814072172,0.461667768,0.347738516,0.138574524,0.630705007,0.095260723,0.37512498,0.135462046,0.287253446,0.26802442,Database Administrator
101,3.0,3.0,3.0,3.0,0.607494963,0.521783185,0.403756266,0.114924704,0.695279717,0.122655795,0.338898893,0.161705111,0.306562151,0.258119442,Database Administrator
102,2.0,2.0,2.0,2.0,0.781292724,0.319538906,0.240337062,0.050987739,0.619389506,0.065563884,0.31189647,0.147700232,0.302977888,0.207287203,Database Administrator
103,2.0,2.0,2.0,2.0,0.700737597,0.319924947,0.246463415,0.041291977,0.624139191,0.046333164,0.336220882,0.194156259,0.312115957,0.21969007,Database Administrator
104,2.0,2.0,2.0,2.0,0.733724048,0.31385154,0.214351242,0.038801004,0.659069353,0.058287824,0.296101878,0.168547783,0.308752339,0.211388677,Database Administrator
105,2.0,2.0,2.0,2.0,0.714603305,0.480564217,0.470876568,0.039610646,0.742567413,0.086926736,0.339776151,0.091158037,0.230518077,0.208745599,Database Administrator
106,2.0,2.0,2.0,2.0,0.617217845,0.452902935,0.377581437,0.090147592,0.672545513,0.071425106,0.353677599,0.104495257,0.247431686,0.196423545,Database Administrator
107,2.0,2.0,2.0,2.0,0.814072172,0.461667768,0.347738516,0.138574524,0.630705007,0.095260723,0.37512498,0.135462046,0.287253446,0.26802442,Database Administrator
108,4.0,4.0,4.0,4.0,0.607494963,0.521783185,0.403756266,0.114924704,0.695279717,0.122655795,0.338898893,0.161705111,0.306562151,0.258119442,Database Administrator
109,4.0,4.0,4.0,4.0,0.781292724,0.319538906,0.240337062,0.050987739,0.619389506,0.065563884,0.31189647,0.147700232,0.302977888,0.207287203,Database Administrator
110,4.0,4.0,4.0,4.0,0.700737597,0.319924947,0.246463415,0.041291977,0.624139191,0.046333164,0.336220882,0.194156259,0.312115957,0.21969007,Database Administrator
111,4.0,4.0,4.0,4.0,0.733724048,0.31385154,0.214351242,0.038801004,0.659069353,0.058287824,0.296101878,0.168547783,0.308752339,0.211388677,Database Administrator
112,4.0,4.0,4.0,4.0,0.714603305,0.480564217,0.470876568,0.039610646,0.742567413,0.086926736,0.339776151,0.091158037,0.230518077,0.208745599,Database Administrator
113,4.0,4.0,4.0,4.0,0.617217845,0.452902935,0.377581437,0.090147592,0.672545513,0.071425106,0.353677599,0.104495257,0.247431686,0.196423545,Database Administrator
114,5.0,5.0,5.0,5.0,0.814072172,0.461667768,0.347738516,0.138574524,0.630705007,0.095260723,0.37512498,0.135462046,0.287253446,0.26802442,Database Administrator
115,5.0,5.0,5.0,5.0,0.607494963,0.521783185,0.403756266,0.114924704,0.695279717,0.122655795,0.338898893,0.161705111,0.306562151,0.258119442,Database Administrator
116,5.0,5.0,5.0,5.0,0.781292724,0.319538906,0.240337062,0.050987739,0.619389506,0.065563884,0.31189647,0.147700232,0.302977888,0.207287203,Database Administrator
117,5.0,5.0,5.0,5.0,0.700737597,0.319924947,0.246463415,0.041291977,0.624139191,0.046333164,0.336220882,0.194156259,0.312115957,0.21969007,Database Administrator
118,5.0,5.0,5.0,5.0,0.733724048,0.31385154,0.214351242,0.038801004,0.659069353,0.058287824,0.296101878,0.168547783,0.308752339,0.211388677,Database Administrator
119,5.0,5.0,5.0,5.0,0.714603305,0.480564217,0.470876568,0.039610646,0.742567413,0.086926736,0.339776151,0.091158037,0.230518077,0.208745599,Database Administrator
120,1.0,1.0,1.0,1.0,0.617217845,0.452902935,0.377581437,0.090147592,0.672545513,0.071425106,0.353677599,0.104495257,0.247431686,0.196423545,Database Administrator
121,1.0,1.0,1.0,1.0,0.814072172,0.461667768,0.347738516,0.138574524,0.630705007,0.095260723,0.37512498,0.135462046,0.287253446,0.26802442,Database Administrator
122,1.0,1.0,1.0,1.0,0.607494963,0.521783185,0.403756266,0.114924704,0.695279717,0.122655795,0.338898893,0.161705111,0.306562151,0.258119442,Database Administrator
123,1.0,1.0,1.0,1.0,0.781292724,0.319538906,0.240337062,0.050987739,0.619389506,0.065563884,0.31189647,0.147700232,0.302977888,0.207287203,Database Administrator
124,1.0,1.0,1.0,1.0,0.700737597,0.319924947,0.246463415,0.041291977,0.624139191,0.046333164,0.336220882,0.194156259,0.312115957,0.21969007,Database Administrator
125,1.0,1.0,1.0,1.0,0.733724048,0.31385154,0.214351242,0.038801004,0.659069353,0.058287824,0.296101878,0.168547783,0.308752339,0.211388677,Database Administrator
126,0.0,0.0,0.0,0.0,0.714603305,0.480564217,0.470876568,0.039610646,0.742567413,0.086926736,0.339776151,0.091158037,0.230518077,0.208745599,Database Administrator
127,0.0,0.0,0.0,0.0,0.617217845,0.452902935,0.377581437,0.090147592,0.672545513,0.071425106,0.353677599,0.104495257,0.247431686,0.196423545,Database Administrator
128,0.0,0.0,0.0,0.0,0.814072172,0.461667768,0.347738516,0.138574524,0.630705007,0.095260723,0.37512498,0.135462046,0.287253446,0.26802442,Database Administrator
129,0.0,0.0,0.0,0.0,0.607494963,0.521783185,0.403756266,0.114924704,0.695279717,0.122655795,0.338898893,0.161705111,0.306562151,0.258119442,Database Administrator
130,0.0,0.0,0.0,0.0,0.781292724,0.319538906,0.240337062,0.050987739,0.619389506,0.065563884,0.31189647,0.147700232,0.302977888,0.207287203,Database Administrator
131,0.0,0.0,0.0,0.0,0.700737597,0.319924947,0.246463415,0.041291977,0.624139191,0.046333164,0.336220882,0.194156259,0.312115957,0.21969007,Database Administrator
132,3.0,3.0,3.0,3.0,0.733724048,0.31385154,0.214351242,0.038801004,0.659069353,0.058287824,0.296101878,0.168547783,0.308752339,0.211388677,Database Administrator
133,3.0,3.0,3.0,3.0,0.714603305,0.480564217,0.470876568,0.039610646,0.742567413,0.086926736,0.339776151,0.091158037,0.230518077,0.208745599,Database Administrator
134,3.0,3.0,3.0,3.0,0.617217845,0.452902935,0.377581437,0.090147592,0.672545513,0.071425106,0.353677599,0.104495257,0.247431686,0.196423545,Database Administrator
135,3.0,3.0,3.0,3.0,0.814072172,0.461667768,0.347738516,0.138574524,0.630705007,0.095260723,0.37512498,0.135462046,0.287253446,0.26802442,Database Administrator
136,3.0,3.0,3.0,3.0,0.607494963,0.521783185,0.403756266,0.114924704,0.695279717,0.122655795,0.338898893,0.161705111,0.306562151,0.258119442,Database Administrator
137,3.0,3.0,3.0,3.0,0.781292724,0.319538906,0.240337062,0.050987739,0.619389506,0.065563884,0.31189647,0.147700232,0.302977888,0.207287203,Database Administrator
138,2.0,2.0,2.0,2.0,0.700737597,0.319924947,0.246463415,0.041291977,0.624139191,0.046333164,0.336220882,0.194156259,0.312115957,0.21969007,Database Administrator
139,2.0,2.0,2.0,2.0,0.733724048,0.31385154,0.214351242,0.038801004,0.659069353,0.058287824,0.296101878,0.168547783,0.308752339,0.211388677,Database Administrator
140,2.0,2.0,2.0,2.0,0.714603305,0.480564217,0.470876568,0.039610646,0.742567413,0.086926736,0.339776151,0.091158037,0.230518077,0.208745599,Database Administrator
141,2.0,2.0,2.0,2.0,0.617217845,0.452902935,0.377581437,0.090147592,0.672545513,0.071425106,0.353677599,0.104495257,0.247431686,0.196423545,Database Administrator
142,2.0,2.0,2.0,2.0,0.814072172,0.461667768,0.347738516,0.138574524,0.630705007,0.095260723,0.37512498,0.135462046,0.287253446,0.26802442,Database Administrator
143,2.0,2.0,2.0,2.0,0.607494963,0.521783185,0.403756266,0.114924704,0.695279717,0.122655795,0.338898893,0.161705111,0.306562151,0.258119442,Database Administrator
144,4.0,4.0,4.0,4.0,0.781292724,0.319538906,0.240337062,0.050987739,0.619389506,0.065563884,0.31189647,0.147700232,0.302977888,0.207287203,Database Administrator
145,4.0,4.0,4.0,4.0,0.700737597,0.319924947,0.246463415,0.041291977,0.624139191,0.046333164,0.336220882,0.194156259,0.312115957,0.21969007,Database Administrator
146,4.0,4.0,4.0,4.0,0.733724048,0.31385154,0.214351242,0.038801004,0.659069353,0.058287824,0.296101878,0.168547783,0.308752339,0.211388677,Database Administrator
147,4.0,4.0,4.0,4.0,0.714603305,0.480564217,0.470876568,0.039610646,0.742567413,0.086926736,0.339776151,0.091158037,0.230518077,0.208745599,Database Administrator
148,4.0,4.0,4.0,4.0,0.617217845,0.452902935,0.377581437,0.090147592,0.672545513,0.071425106,0.353677599,0.104495257,0.247431686,0.196423545,Database Administrator
149,4.0,4.0,4.0,4.0,0.814072172,0.461667768,0.347738516,0.138574524,0.630705007,0.095260723,0.37512498,0.135462046,0.287253446,0.26802442,Database Administrator
150,5.0,5.0,5.0,5.0,0.607494963,0.521783185,0.403756266,0.114924704,0.695279717,0.122655795,0.338898893,0.161705111,0.306562151,0.258119442,Database Administrator
151,5.0,5.0,5.0,5.0,0.781292724,0.319538906,0.240337062,0.050987739,0.619389506,0.065563884,0.31189647,0.147700232,0.302977888,0.207287203,Database Administrator
152,5.0,5.0,5.0,5.0,0.700737597,0.319924947,0.246463415,0.041291977,0.624139191,0.046333164,0.336220882,0.194156259,0.312115957,0.21969007,Database Administrator
153,5.0,5.0,5.0,5.0,0.733724048,0.31385154,0.214351242,0.038801004,0.659069353,0.058287824,0.296101878,0.168547783,0.308752339,0.211388677,Database Administrator
154,5.0,5.0,5.0,5.0,0.714603305,0.480564217,0.470876568,0.039610646,0.742567413,0.086926736,0.339776151,0.091158037,0.230518077,0.208745599,Database Administrator
155,5.0,5.0,5.0,5.0,0.617217845,0.452902935,0.377581437,0.090147592,0.672545513,0.071425106,0.353677599,0.104495257,0.247431686,0.196423545,Database Administrator
156,1.0,1.0,1.0,1.0,0.814072172,0.461667768,0.347738516,0.138574524,0.630705007,0.095260723,0.37512498,0.135462046,0.287253446,0.26802442,Database Administrator
157,1.0,1.0,1.0,1.0,0.607494963,0.521783185,0.403756266,0.114924704,0.695279717,0.122655795,0.338898893,0.161705111,0.306562151,0.258119442,Database Administrator
158,1.0,1.0,1.0,1.0,0.781292724,0.319538906,0.240337062,0.050987739,0.619389506,0.065563884,0.31189647,0.147700232,0.302977888,0.207287203,Database Administrator
159,1.0,1.0,1.0,1.0,0.700737597,0.319924947,0.246463415,0.041291977,0.624139191,0.046333164,0.336220882,0.194156259,0.312115957,0.21969007,Database Administrator
160,1.0,1.0,1.0,1.0,0.733724048,0.31385154,0.214351242,0.038801004,0.659069353,0.058287824,0.296101878,0.168547783,0.308752339,0.211388677,Database Administrator
161,1.0,1.0,1.0,1.0,0.714603305,0.480564217,0.470876568,0.039610646,0.742567413,0.086926736,0.339776151,0.091158037,0.230518077,0.208745599,Database Administrator
